Name	UBGE	QSRH	JWXT	LBWZ	FLGU
ENDH	90	5	2	2	1
HGRH	4	6	80	7	3
IJBW	90	0	2	1	7
PHJV	56	10	4	24	6
ORKZ	74	2	18	1	5
GKMX	88	9	1	0	2
VZAW	36	36	27	0	1
GZSP	16	60	6	0	18
CWSJ	65	31	3	0	1
PTPN	51	17	8	19	5
XFZO	22	22	25	30	1
RFTT	39	8	6	25	22
CLVA	6	92	1	0	1
ZUGP	96	1	2	0	1
SXSZ	75	17	6	1	1
KTSL	14	20	55	5	6
QBKC	53	11	26	9	1
RAPL	3	81	0	3	13
OWBM	45	8	36	4	7
PAPI	29	6	51	10	4
YUZX	5	55	13	12	15
DTHS	13	33	41	7	6
SMWH	17	28	0	25	30
HAMN	63	15	14	4	4
GVNG	85	2	2	10	1
NPJS	86	0	3	2	9
FBQV	20	41	22	9	8
UNPA	9	74	13	2	2
CSMI	85	7	5	1	2
HXTP	99	0	0	0	1
TGHP	79	17	1	2	1
GYMJ	53	6	35	4	2
UQPE	57	40	1	1	1
IBOH	76	0	14	4	6
XJGV	51	10	36	0	3
IUCX	6	34	2	7	51
BBUJ	71	12	11	5	1
XPHT	28	6	62	0	4
JZLE	88	0	2	5	5
RIVU	84	7	5	3	1
AKGS	19	17	48	7	9
SLYX	94	1	4	0	1
VWOB	92	6	0	0	2
WGSK	61	33	5	0	1
ZISW	85	3	0	1	11
FZML	10	25	39	12	14
IPZZ	88	6	0	0	6
DFWY	50	18	26	5	1
LMYQ	48	6	17	17	12
VKWY	40	47	11	1	1
QGCA	89	0	6	2	3
HOTQ	38	4	36	18	4
DQAQ	33	65	1	0	1
FKEM	71	2	20	2	5
IHIH	27	60	12	0	1
XOIY	38	45	3	10	4
UZUU	77	6	4	8	5
GXUN	84	1	10	0	5
UJIC	76	8	9	2	5
RPSU	62	1	30	3	4
EKRT	30	68	1	0	1
AQAK	4	42	31	18	5
WDDA	41	5	53	0	1
KMCF	55	20	0	4	21
BHIL	42	55	2	0	1
UHCC	33	12	14	9	32
ZXYM	92	6	0	0	2
KGIV	88	4	3	2	3
QVIT	11	13	28	43	5
GHFD	0	87	1	2	10
FWFQ	52	26	6	4	12
FGAE	62	2	33	1	2
VNMN	86	7	0	5	2
OAFQ	60	38	0	1	1
EDPA	17	69	0	0	14
OBNW	14	17	19	9	41
JUHM	38	36	8	12	6
TJCM	33	43	15	2	7
EMAN	46	49	1	3	1
MLYU	0	24	52	8	16
TAGV	66	20	2	6	6
UXHV	75	13	8	3	1
KGSR	18	63	13	2	4
NIAY	64	19	11	2	4
RTSH	40	49	6	2	3
ILSO	64	15	4	15	2
SBKT	53	1	7	38	1
IVHJ	58	8	31	0	3
FUDA	83	7	4	3	3
QDJT	5	16	62	1	16
CCGP	15	79	5	0	1
PTZP	52	12	35	0	1
NMIW	28	15	4	14	39
OUDK	66	14	18	0	2
AEHM	96	1	0	0	3
VMLC	43	51	0	2	4
DGFO	85	13	1	0	1
AZBJ	81	10	8	0	1
UWOI	97	1	0	0	2
KABU	78	21	0	0	1
STGK	22	28	13	3	34
JKMZ	28	52	9	2	9
NHHO	34	48	7	7	4
CAEV	86	0	1	0	13
CKQB	29	40	28	1	2
PMZO	0	14	78	5	3
NUHN	67	9	7	16	1
IPHF	19	35	10	11	25
JMXW	9	37	51	2	1
JWZW	74	21	3	1	1
CNHB	75	14	3	6	2
CQTR	26	52	5	2	15
GQFN	25	2	41	3	29
VIEU	28	29	10	16	17
ZIDR	13	14	42	24	7
DBUL	67	8	17	5	3
QVQC	62	4	24	0	10
YEFK	41	32	14	9	4
KGSY	58	23	0	1	18
BLKF	26	8	28	21	17
QNDL	76	3	18	2	1
QCSY	94	0	2	2	2
NBBL	55	34	0	1	10
VPAF	71	14	11	3	1
TQTX	41	6	49	1	3
JWHN	83	1	2	12	2
BVSF	5	0	1	84	10
MBPE	11	60	4	3	22
HWFH	38	29	4	11	18
DUBR	46	28	6	15	5
LCDW	80	11	7	1	1
QWKJ	49	38	1	8	4
SEFZ	87	10	1	1	1
SHBG	93	2	2	2	1
UWSA	54	12	10	16	8
CLRN	6	73	18	1	2
RJZH	31	19	44	3	3
OOEN	53	24	18	1	4
LMOQ	2	12	12	34	40
VNXL	15	1	43	37	4
KRPO	36	8	34	11	11
ZCLA	8	75	2	8	7
QJCP	20	20	20	21	19
FNLU	39	27	15	10	9
AGCW	92	2	5	0	1
WBRY	68	4	10	0	18
JIUU	93	6	0	0	1
IBIW	66	28	0	3	3
QWZV	71	9	12	3	5
LTTD	58	17	21	0	4
DLLB	66	23	6	0	5
OYNW	90	0	6	0	4
YEHU	15	47	11	1	26
SKIE	19	45	20	14	2
FGSG	39	3	49	8	1
GXGT	80	15	2	1	2
DSFK	12	4	77	4	3
DKIG	35	29	31	4	1
KPQQ	34	27	24	13	2
IJOG	28	39	8	23	2
YZBM	33	9	46	1	11
IDCZ	72	16	7	3	2
AHJF	11	73	0	11	5
CJCT	50	34	4	7	5
DKHK	41	24	22	3	10
UMHF	31	43	3	16	7
TTFA	18	3	65	1	13
YIKZ	2	2	63	21	12
WNWI	29	14	21	21	15
PCKQ	52	39	3	2	4
FKAT	45	15	16	2	22
OFLC	1	65	8	20	6
VQIV	78	17	2	1	2
JPKC	63	7	17	1	12
XYUQ	2	89	1	4	4
CTUC	75	7	10	7	1
WQVW	48	30	14	3	5
ZLKV	87	4	4	1	4
PIEC	87	8	3	1	1
LTSB	3	29	55	0	13
ALGZ	36	45	12	2	5
GKQP	52	16	22	7	3
GKML	12	44	3	9	32
XYLS	87	8	1	2	2
QIVK	7	45	0	43	5
RVVM	99	0	0	0	1
AYUQ	80	7	12	0	1
JACL	28	66	2	2	2
BYZF	53	13	23	8	3
KPUH	69	18	3	7	3
OIRY	82	13	4	0	1
KHAB	38	34	17	8	3
KELB	16	14	39	23	8
GAFF	59	26	12	2	1
UJWY	22	40	31	2	5
BTVF	25	47	10	15	3
ZAXN	14	15	41	11	19
TYRU	49	34	11	4	2
MGHA	67	22	5	5	1
IDAL	35	21	21	14	9
QJGO	74	7	12	4	3
TNEH	83	0	13	1	3
CCTA	33	22	7	11	27
NBFA	15	13	1	30	41
LBDD	44	4	51	0	1
PSHE	47	12	0	12	29
HRJH	59	19	6	4	12
FYBS	8	58	15	11	8
MTVU	87	9	3	0	1
CNLQ	6	93	0	0	1
AXSN	80	15	4	0	1
UVXN	2	27	8	59	4
GRSS	42	14	19	15	10
TJEB	3	61	8	6	22
CURF	92	7	0	0	1
YVZA	80	8	11	0	1
KMKK	29	7	53	8	3
LCTL	56	34	9	0	1
PRKF	59	37	0	1	3
WZUP	27	29	35	2	7
KJQO	23	64	12	0	1
ZYTV	17	30	8	6	39
WVLD	1	72	5	11	11
MCOI	31	16	25	1	27
ILBF	14	35	47	3	1
TKGR	16	16	9	28	31
VQTL	97	2	0	0	1
EDBD	28	44	19	6	3
LSNS	32	65	2	0	1
XRKP	47	29	7	4	13
YBNR	50	1	3	29	17
DJAA	35	50	7	0	8
SNFM	68	13	3	13	3
RHOI	27	51	4	10	8
UUFF	11	1	20	28	40
QWPY	92	7	0	0	1
EHWY	32	59	5	2	2
XQAF	45	40	5	4	6
EKFO	57	11	0	22	10
HUVV	83	3	12	1	1
ELEA	82	4	3	10	1
FRIM	1	1	94	3	1
MDTN	77	12	5	5	1
GERN	4	73	16	4	3
SIAA	58	15	16	10	1
DHJX	95	2	2	0	1
VYIS	47	22	27	2	2
XGTQ	58	31	9	0	2
ZQTR	98	1	0	0	1
NUJM	14	55	29	1	1
MKRC	44	55	0	0	1
LJCI	62	37	0	0	1
JYYH	79	0	6	13	2
QFER	5	38	29	7	21
IADE	7	73	19	0	1
MLFP	85	14	0	0	1
LZCF	70	19	10	0	1
CUMG	81	9	2	0	8
WVZP	82	3	4	6	5
ZZVJ	79	14	0	4	3
RQGB	28	22	28	15	7
CRCG	30	51	2	16	1
FETA	99	0	0	0	1
RNGT	80	11	6	1	2
UVOE	26	12	46	8	8
HIMD	9	4	25	14	48
VXEP	91	8	0	0	1
YZKU	8	75	14	1	2
AQML	17	80	2	0	1
LFTR	41	33	4	13	9
FAYX	40	4	28	22	6
FUGH	77	22	0	0	1
LYDL	56	36	0	6	2
FDES	24	73	1	0	2
VUOC	89	10	0	0	1
DSGK	72	11	4	5	8
THGL	43	41	1	5	10
YCSH	91	7	1	0	1
LXLA	43	21	19	8	9
VFHW	57	28	1	10	4
XSZY	70	26	3	0	1
SEDV	23	66	0	3	8
DAYV	98	0	0	0	2
TUQF	41	11	39	2	7
ZYKF	84	9	3	2	2
YIHH	25	55	4	15	1
EZSO	70	8	17	3	2
RPEY	25	53	15	3	4
IWWH	47	43	4	3	3
MLWR	95	3	0	0	2
ORAL	48	14	21	11	6
DTNG	41	35	6	4	14
QUYK	88	11	0	0	1
MEBH	40	8	35	16	1
MEJO	67	8	0	1	24
HEES	31	16	7	41	5
DQAE	80	14	0	3	3
FRYI	21	23	15	40	1
BOTG	22	54	13	4	7
TWDS	76	18	0	1	5
AEDT	10	45	6	30	9
BTJA	29	50	17	3	1
XERT	47	47	4	0	2
BRLY	57	17	21	2	3
PSHB	16	42	37	2	3
KZEL	33	38	2	1	26
AEVP	8	28	50	1	13
MRSL	7	19	15	38	21
YXKP	40	47	10	1	2
HCIM	73	5	2	9	11
PKXK	57	10	12	6	15
XEOM	80	8	5	1	6
UNNK	18	38	27	4	13
JLHZ	96	1	1	0	2
OFWR	31	54	1	9	5
OCRF	22	25	30	19	4
QDSF	69	21	3	0	7
TRBD	95	1	1	1	2
UHXO	58	33	7	1	1
LWWC	78	8	0	0	14
WLJV	59	7	19	12	3
XTYQ	71	27	1	0	1
TBLY	40	0	15	37	8
GSTV	84	3	4	3	6
QBHN	4	48	1	29	18
SBQW	84	3	3	5	5
DSJS	97	0	1	1	1
ENPW	41	44	0	10	5
KPAR	65	7	3	6	19
BVFI	35	26	38	0	1
LGRD	84	9	2	2	3
LLIN	92	1	1	5	1
BYLG	22	47	26	4	1
OCRE	88	3	4	3	2
NOLE	5	82	11	1	1
FMGF	89	6	1	3	1
PGHK	97	2	0	0	1
KTPT	94	1	3	0	2
YOAJ	68	1	28	0	3
BQBT	37	40	0	22	1
UTOQ	97	0	2	0	1
TQUH	28	9	53	9	1
UBHJ	55	43	0	1	1
IDJI	68	1	13	13	5
SPYF	66	1	6	23	4
TGPB	26	44	26	3	1
UBYH	35	45	8	9	3
NZHW	70	14	1	10	5
EAPR	17	53	9	16	5
XKPH	37	11	15	27	10
FLNQ	8	12	31	1	48
EDRS	74	8	2	4	12
EWWG	1	20	59	2	18
SEKY	9	11	35	15	30
ROQH	93	3	2	0	2
QONA	97	1	0	1	1
GIDN	31	4	47	0	18
RKYX	72	12	14	0	2
RIAF	72	24	1	2	1
FUQL	70	21	1	0	8
EWRT	99	0	0	0	1
VPPO	51	36	4	1	8
QLIQ	60	33	5	0	2
AKHN	44	15	12	27	2
FWSW	76	4	1	14	5
HKJD	27	57	3	6	7
MLVG	38	33	13	5	11
BHTP	64	18	3	8	7
HQIR	2	46	21	14	17
KPIE	45	38	1	3	13
EVAA	46	3	29	15	7
JJUM	41	27	3	22	7
GVVQ	45	30	11	13	1
AJWU	19	23	51	2	5
FOKV	48	8	3	8	33
CQHQ	67	31	0	1	1
MOYQ	87	6	5	1	1
JAZC	22	60	8	0	10
MMHW	5	27	20	4	44
TPOU	25	60	4	0	11
HXIR	35	17	22	18	8
UULL	18	79	2	0	1
EFDF	66	5	25	0	4
GWWG	92	7	0	0	1
SXUI	46	44	7	0	3
ZOCH	84	13	2	0	1
QGQB	65	3	13	2	17
ADKN	39	12	38	8	3
KWTH	16	57	22	1	4
MXFC	6	55	13	9	17
YCQR	31	23	42	2	2
MRHJ	41	12	39	6	2
THXZ	12	53	21	13	1
KIOT	89	3	0	3	5
TAOH	56	4	20	0	20
YDVM	41	28	28	0	3
BLIU	69	11	5	5	10
MSGZ	78	3	13	1	5
PVPJ	66	18	3	8	5
UWAZ	78	2	10	9	1
KHRM	96	1	2	0	1
UFVV	84	8	2	4	2
KQXP	89	5	3	1	2
FRZV	36	16	26	7	15
FIPN	50	12	8	8	22
CFPL	69	11	16	1	3
PGOD	21	73	0	5	1
RDHH	31	62	0	3	4
QMQN	91	6	0	0	3
KQNR	95	0	4	0	1
WSGC	69	12	2	4	13
HTVJ	97	2	0	0	1
FBVF	74	8	6	10	2
ZKSP	42	20	34	2	2
HLKP	66	30	3	0	1
JJFE	92	7	0	0	1
RIMW	34	42	1	12	11
JKDH	68	17	12	2	1
VHCN	53	18	14	4	11
GOVJ	11	15	67	0	7
FGYC	88	0	2	6	4
KWFG	77	12	6	4	1
NGIQ	81	12	6	0	1
VEQU	82	12	2	0	4
MBCL	61	29	0	8	2
DLDR	16	21	32	22	9
AZVW	83	4	3	5	5
HQHS	38	25	29	5	3
KATS	43	6	11	30	10
FNMJ	54	12	3	17	14
RXTV	85	8	2	1	4
UODY	47	18	14	15	6
QLGD	50	40	2	7	1
TBQI	79	18	2	0	1
OSBM	65	33	1	0	1
QOXW	96	1	0	2	1
CUSC	0	95	0	4	1
QVCU	96	0	1	2	1
PDKT	31	65	0	2	2
QLMY	89	4	6	0	1
UUFA	16	73	0	6	5
QEVV	88	0	10	1	1
DAGV	85	8	3	0	4
SBMO	45	6	46	0	3
XPAE	83	6	8	2	1
DVCD	12	21	53	8	6
PXVW	14	9	49	6	22
GBIC	38	28	4	16	14
FPXH	2	66	24	6	2
HOSA	41	24	0	16	19
GXYO	29	6	5	47	13
YUYT	7	57	12	16	8
ROXN	33	33	18	14	2
DBPP	40	36	19	4	1
BWVM	51	28	5	2	14
NDIG	74	25	0	0	1
FBJV	51	23	3	17	6
JALG	50	24	10	5	11
ZCSF	77	20	0	0	3
ITAF	16	26	10	6	42
KXKJ	26	72	0	1	1
SCCM	15	1	53	0	31
TZHR	28	33	34	1	4
XGNT	46	49	2	0	3
VHVP	8	2	7	82	1
TDMS	76	15	8	0	1
CZME	4	49	40	6	1
ACMA	46	31	2	16	5
MBRW	16	4	75	3	2
XHXD	96	0	2	0	2
HEQM	43	23	33	0	1
LXOZ	55	2	22	3	18
BRFR	99	0	0	0	1
BUGT	60	28	11	0	1
NGSH	92	5	1	0	2
CILG	50	47	0	2	1
TSCH	99	0	0	0	1
APKR	16	19	46	13	6
ZSLI	32	17	12	16	23
IDPR	65	31	2	0	2
QKAW	64	24	10	1	1
ANGI	21	56	21	1	1
QSHU	49	42	4	2	3
MQZW	25	42	18	1	14
BHAT	22	64	1	3	10
WUHV	1	90	1	4	4
FTAY	62	28	6	3	1
WNKZ	69	30	0	0	1
YCHX	68	4	17	8	3
QZYS	54	33	6	3	4
LJRM	53	28	9	3	7
RFXS	42	4	31	20	3
JVWX	62	11	24	0	3
DFHQ	81	16	0	0	3
AVOI	30	64	5	0	1
PZFM	25	67	3	2	3
KAJS	86	8	5	0	1
LPJI	31	60	4	3	2
YTSP	52	12	21	6	9
XNHQ	6	41	42	2	9
VTFU	54	24	6	6	10
XKWS	54	27	0	13	6
NLNN	20	63	0	2	15
LXUJ	28	22	3	0	47
VDMO	65	24	2	3	6
MHRD	39	54	6	0	1
MODQ	93	1	0	0	6
SCJQ	73	24	0	1	2
IWWK	13	41	3	34	9
ECBY	12	79	6	1	2
ZMXS	17	37	3	23	20
CKVO	34	39	18	4	5
DCUO	2	47	8	42	1
MILV	22	7	65	4	2
IVRG	2	41	24	29	4
UIHS	63	18	8	6	5
LNUA	11	18	36	17	18
IXFW	99	0	0	0	1
MAGN	94	2	2	1	1
RXTR	18	37	16	0	29
WWKS	28	64	5	0	3
HEXD	20	45	30	2	3
AHFP	26	69	3	1	1
ZCJF	43	47	3	6	1
NFZD	84	9	5	1	1
ICFU	51	18	15	1	15
AGQX	23	57	14	5	1
FKTE	51	24	17	3	5
VBPZ	58	31	7	1	3
OQHE	71	24	2	1	2
PHEE	17	34	31	14	4
MBXL	85	8	0	5	2
KTYM	79	10	5	1	5
OFJQ	46	31	5	6	12
YDOF	31	34	10	10	15
KVNN	83	4	7	5	1
NLTZ	90	0	8	0	2
UXQZ	5	1	30	57	7
VOMS	98	1	0	0	1
LNBZ	98	1	0	0	1
PJCA	83	4	5	7	1
IMLK	87	4	3	2	4
MQSH	77	19	0	2	2
YVOK	95	4	0	0	1
MIJS	92	2	0	3	3
COKN	43	6	1	4	46
DRMJ	25	10	34	22	9
JLCZ	70	2	27	0	1
IPYO	98	1	0	0	1
ODFF	45	26	6	18	5
VLGH	32	51	9	2	6
UQIM	22	5	63	0	10
PYEV	17	39	4	18	22
FIUD	92	2	1	4	1
FHEG	82	12	0	3	3
AQUJ	33	65	1	0	1
GFQN	30	28	26	5	11
IUCA	96	1	1	0	2
IMHY	88	7	0	4	1
UPUO	69	23	1	1	6
JHXS	67	24	5	3	1
QWXB	59	6	21	8	6
FHAW	68	31	0	0	1
ATTS	61	3	23	7	6
QWQR	55	30	11	2	2
XMIA	71	4	7	11	7
ZFIK	71	7	12	3	7
RGSY	99	0	0	0	1
FIKT	52	46	0	1	1
NLZF	65	20	13	1	1
LDTK	76	5	16	1	2
IFZH	95	4	0	0	1
HUVK	75	14	0	0	11
EUWG	28	25	34	1	12
JWMW	12	67	16	4	1
LALH	96	2	1	0	1
WYXW	76	12	1	9	2
BSGZ	37	38	2	22	1
MXYC	37	45	16	1	1
AWZT	13	68	0	8	11
EFKJ	44	48	2	5	1
TPUK	52	37	6	4	1
XLUB	79	10	3	1	7
AJWX	53	17	22	2	6
RVVD	22	58	10	6	4
PCIU	92	4	0	0	4
HEVR	98	1	0	0	1
YGIB	1	42	17	15	25
WNSR	97	1	1	0	1
YEMS	16	42	9	17	16
JQPJ	55	2	11	22	10
FDEZ	43	25	19	2	11
UYXK	79	6	3	10	2
OQTU	51	45	1	1	2
AUSK	81	17	1	0	1
GAMV	25	44	22	4	5
PIXF	59	34	5	0	2
JUUX	33	31	6	8	22
QTZQ	73	5	7	12	3
DCDU	83	7	5	4	1
XFFF	0	28	61	1	10
CQAA	14	80	2	3	1
VFEN	62	4	25	3	6
ZBCM	71	27	0	1	1
FVZC	25	74	0	0	1
XUOC	20	24	39	3	14
QIYQ	25	4	24	38	9
MWFY	18	29	24	4	25
LBVI	95	1	2	1	1
XUQV	56	29	2	8	5
JXWJ	0	57	30	1	12
MEQK	77	8	2	6	7
IKRD	47	20	7	7	19
UCTL	43	29	7	16	5
SOOH	50	4	6	34	6
JSWU	72	3	1	13	11
QCME	1	0	19	78	2
RPPX	84	4	8	3	1
XWSF	78	19	0	0	3
GVUU	53	21	14	7	5
AEVI	2	8	69	14	7
IPPX	50	11	0	3	36
ZXWW	44	47	6	2	1
BGXF	21	33	20	5	21
AXXR	44	21	32	2	1
BAXF	29	7	47	0	17
USUQ	58	28	3	1	10
KCGT	19	46	16	17	2
DKXP	33	22	29	9	7
ZBUL	95	2	1	1	1
NWKN	63	29	5	1	2
RSHJ	11	14	47	13	15
NZBX	21	11	47	9	12
BERN	86	11	0	2	1
RHGI	17	79	1	1	2
TNXQ	6	28	32	27	7
KIXZ	53	24	17	2	4
EYML	12	9	38	36	5
MLSV	90	2	2	3	3
RRER	24	5	28	32	11
RWDO	88	2	2	1	7
OXEG	49	42	2	4	3
BADP	60	27	11	0	2
ZIHW	36	4	7	4	49
OSUG	97	2	0	0	1
EOGA	13	8	5	63	11
LNQG	95	3	0	1	1
ZAOO	92	3	3	0	2
TCSU	5	91	2	0	2
ZWLB	43	50	6	0	1
GLKW	43	50	0	5	2
PUHZ	36	29	11	17	7
UUGB	40	17	34	4	5
WNGC	34	6	33	2	25
ARHM	3	88	0	7	2
YYFH	66	23	8	1	2
NSGR	61	36	1	1	1
RXAX	63	1	14	10	12
FFYR	17	72	7	3	1
SKCM	9	47	36	1	7
USPQ	85	13	0	0	2
FIVD	90	1	2	6	1
NSBL	76	1	8	9	6
ZJYF	84	0	13	0	3
BWCX	45	41	8	1	5
TVMW	5	54	40	0	1
EEYK	46	20	13	15	6
JYRN	97	0	0	0	3
LRBB	4	30	31	26	9
BTSX	59	20	12	3	6
JJBR	8	44	32	11	5
LJON	9	11	27	26	27
PHKJ	49	47	2	1	1
SEIS	66	16	2	13	3
IGDQ	16	47	3	32	2
ZJPR	75	23	1	0	1
KFIH	7	19	67	3	4
VFZX	16	80	0	3	1
GREV	97	2	0	0	1
EMKC	32	59	0	6	3
NJIM	16	69	11	0	4
ISUY	57	8	27	0	8
JQKB	78	18	3	0	1
WHDP	81	15	0	3	1
DGKU	64	20	12	1	3
XBNG	92	3	2	2	1
RJTS	46	0	51	2	1
JQPX	70	5	7	9	9
QVUI	79	20	0	0	1
VZET	31	49	15	2	3
UDYL	4	38	28	3	27
HSLZ	96	3	0	0	1
SZQC	60	5	6	20	9
ZYXM	84	3	4	5	4
XDCO	26	63	5	1	5
JRAC	55	17	23	4	1
GMAI	8	62	25	3	2
YFMC	51	48	0	0	1
JTCV	83	2	6	7	2
MLSY	12	9	11	39	29
DZGJ	20	1	45	7	27
HLQA	36	26	26	4	8
JYSU	27	0	4	7	62
ADWR	95	4	0	0	1
CXYN	76	21	2	0	1
EXOK	52	19	14	1	14
TJOE	38	21	12	3	26
YDIB	16	77	1	2	4
XUYL	45	9	27	8	11
BKPJ	44	36	11	5	4
QUXP	35	23	19	16	7
QVPQ	57	35	1	1	6
RFNT	46	3	31	11	9
TCDZ	75	23	1	0	1
OSLJ	0	64	0	19	17
IFVQ	57	41	1	0	1
FISG	13	72	2	7	6
EJVH	23	36	40	0	1
DICW	39	48	3	0	10
FZKG	25	74	0	0	1
FWTK	20	34	6	28	12
OWFQ	81	13	1	4	1
FCMG	86	0	11	1	2
BSBD	42	52	1	0	5
JACJ	70	17	6	4	3
EJIN	57	26	3	6	8
ROAD	51	36	12	0	1
AIJM	37	0	18	28	17
OBHU	65	32	0	1	2
PUCM	72	9	16	1	2
NPLX	87	2	7	2	2
CXIJ	22	0	25	8	45
CRYN	31	28	33	5	3
JJNT	65	15	8	8	4
MXZU	55	18	20	2	5
KRST	61	30	3	3	3
LYKB	37	20	5	3	35
USNN	63	33	3	0	1
MQXI	2	52	27	12	7
XODQ	71	2	3	14	10
YXHS	2	38	19	5	36
TWAW	90	2	6	0	2
TBGZ	87	1	6	5	1
ITDV	20	39	15	18	8
OXOS	59	9	19	1	12
HTOD	52	36	9	1	2
UQXR	81	2	12	4	1
IKKH	24	37	36	0	3
MIHA	69	1	26	1	3
LERC	55	19	9	9	8
ZMBO	59	29	10	0	2
ETJF	84	5	9	1	1
VHRF	48	40	11	0	1
TKFQ	47	33	5	13	2
AVHT	43	21	23	9	4
LWVY	68	22	6	0	4
IWHG	76	3	1	4	16
OIVF	50	12	36	1	1
LLEA	3	8	33	25	31
QXUQ	94	5	0	0	1
TDIP	33	1	10	49	7
TCFC	53	22	6	3	16
XHNG	54	29	1	3	13
MVQW	36	29	9	14	12
IULK	93	2	1	1	3
HHHY	87	3	9	0	1
QPTQ	49	40	5	0	6
BBDM	39	17	22	6	16
VRUS	2	85	3	5	5
CBYG	35	8	20	7	30
YMFT	72	17	0	5	6
IIIW	23	55	0	0	22
UACF	49	9	5	28	9
JEOK	85	3	9	2	1
SXOY	6	70	13	2	9
PGKR	53	17	9	7	14
BYMJ	2	14	60	17	7
IMKN	4	61	23	1	11
PKEI	15	8	72	0	5
LWPG	78	9	2	10	1
WFJY	72	11	15	1	1
EVPP	34	1	11	52	2
PHCD	21	78	0	0	1
ZMXD	53	22	24	0	1
GKRV	25	56	7	2	10
NQDI	51	17	21	4	7
SQRM	34	6	46	12	2
ZLYG	50	37	0	9	4
WSJY	36	21	30	10	3
YXQP	85	13	0	1	1
UMLX	82	8	5	0	5
QUWV	80	2	12	4	2
PLMV	98	1	0	0	1
YVOL	48	9	1	4	38
AIMA	29	8	55	2	6
EFHP	49	45	0	4	2
GWZK	39	37	15	0	9
KCZA	92	0	5	1	2
TTUM	63	23	6	3	5
ODQT	45	25	25	0	5
UTEQ	19	49	23	3	6
RLQE	14	75	4	0	7
OVVT	10	49	7	20	14
KMWH	95	4	0	0	1
GYFE	93	0	1	0	6
AJVF	2	26	24	31	17
RPEQ	62	3	32	0	3
OPFS	73	12	6	7	2
VRYF	66	8	2	12	12
OSTT	72	27	0	0	1
EFPI	69	29	0	0	2
ZZQJ	82	10	3	2	3
XBJJ	32	8	0	25	35
MRCY	36	12	26	15	11
ZCON	85	1	1	11	2
JUFR	62	28	7	2	1
HEVR	60	9	25	0	6
FEWB	88	4	6	1	1
MBJT	4	85	7	3	1
ZMZN	89	3	6	1	1
YDQE	35	53	11	0	1
HNIS	27	2	70	0	1
AKFP	39	59	1	0	1
MBSC	24	20	7	43	6
JCCT	75	14	5	3	3
BPMN	57	0	21	20	2
NANM	12	19	24	43	2
FGSH	10	77	6	0	7
JLIE	93	1	1	2	3
YONU	51	18	25	2	4
OUPF	74	16	7	0	3
TDON	87	2	6	1	4
CLED	68	10	21	0	1
VDNO	71	16	5	6	2
KHTH	25	22	13	28	12
RFLU	64	24	6	4	2
AHSB	21	54	19	1	5
UIKQ	11	16	30	8	35
RTDP	40	14	43	2	1
FLLM	91	1	5	0	3
PTOL	85	6	5	2	2
NONY	91	5	2	1	1
UGDW	55	42	1	1	1
IYWT	23	22	15	24	16
RGAJ	61	38	0	0	1
EKBW	73	0	23	2	2
WYRR	5	73	13	5	4
JUCY	55	37	3	1	4
GWHR	61	8	27	3	1
XWSD	86	7	0	2	5
BHXH	59	24	9	7	1
RJAU	90	3	4	1	2
YWPW	72	5	21	1	1
BXUF	6	42	40	9	3
UTWG	91	1	5	1	2
IKAG	19	6	67	4	4
DJFA	95	0	3	1	1
JHFS	83	6	9	0	2
PFAD	52	21	11	11	5
FYOI	19	56	10	14	1
ZGBS	23	58	16	1	2
DAXQ	98	1	0	0	1
OUQZ	6	70	23	0	1
XMUA	62	10	18	6	4
WGSO	31	7	59	2	1
JKAM	55	36	6	0	3
CPUK	4	43	48	1	4
HJUT	94	4	1	0	1
JFUT	22	19	37	9	13
VUPQ	72	13	2	1	12
TNYB	51	13	22	5	9
ILHZ	30	14	49	3	4
KECI	2	97	0	0	1
YIOG	84	4	6	4	2
FSAL	88	11	0	0	1
PKLU	95	3	0	1	1
XBGO	38	51	0	8	3
LBCE	71	10	10	0	9
YNTP	18	38	29	7	8
VASQ	56	12	28	1	3
EXIU	2	93	2	1	2
QHZU	85	2	5	1	7
VJVL	90	5	2	1	2
KTTJ	11	38	8	7	36
EVAU	4	73	0	22	1
CKZX	49	44	4	2	1
PMUF	45	25	11	11	8
MXKG	21	1	20	11	47
CUQA	14	50	6	2	28
IWIN	58	22	19	0	1
DBTQ	62	36	1	0	1
LJIE	37	48	11	0	4
DTVS	23	45	16	0	16
HTWP	13	73	0	13	1
YWDD	25	46	16	1	12
CYPT	25	2	50	12	11
CGKV	71	7	6	8	8
OTJX	9	10	45	21	15
IKFN	65	21	11	1	2
FRPH	0	75	19	1	5
BIMX	45	12	9	22	12
OOPN	27	49	0	23	1
JZLW	81	3	14	0	2
KXQA	65	34	0	0	1
ZCVU	62	25	1	1	11
EOYC	4	30	15	26	25
QQYA	32	62	2	3	1
KAMO	60	7	0	19	14
AUOE	83	4	4	6	3
VIRH	23	63	5	0	9
RCKA	5	48	22	1	24
RZKP	16	49	17	17	1
NJBG	77	1	14	3	5
HGFZ	23	11	41	14	11
PKXM	79	20	0	0	1
IMMW	86	10	2	0	2
VSTW	74	4	6	9	7
LZTV	30	33	30	3	4
IVAT	67	0	6	14	13
VPYH	56	35	4	2	3
SZEN	40	45	12	1	2
DIBU	26	52	4	15	3
RZNB	74	20	3	2	1
NFBE	20	1	1	48	30
MECI	30	19	5	26	20
